date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:42:11	3316/3316	---M--	200	added ('OK')	image/png	etag:%22b990be86efb765402df96de07ff676ed%22	http://cdn2.editmysite.com/images/util/videojs/white-bar.png	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/util/videojs/white-bar.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:11	75006/75006	---M-Z	200	added ('OK')	application/javascript	etag:%226269c8de-124fe%22	http://cdn2.editmysite.com/js/wsnbn/snowday262.js	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/js/wsnbn/snowday262.js	(from https://proquipenterprises.weebly.com/)
23:42:12	934/934	---M--	200	added ('OK')	image/png	etag:%22b7bb9f86cd372171ddb601013f7b7ecc%22	http://cdn2.editmysite.com/images/util/videojs/@2x/white-bar.png	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/util/videojs/@2x/white-bar.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:12	1062/1062	---M--	200	added ('OK')	image/png	etag:%22e3a4510b856d2e6af899829f916aed5c%22	http://cdn2.editmysite.com/images/util/videojs/gradient.png	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/util/videojs/gradient.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:12	1066/1066	---M--	200	added ('OK')	image/png	etag:%225f79d3a4fcbd47a8915f4b76d8d391f2%22	http://cdn2.editmysite.com/images/util/videojs/@2x/gradient.png	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/util/videojs/@2x/gradient.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:14	10847/10847	---M--	200	added ('OK')	image/png	etag:%22626bf7b6-2a5f%22	http://cdn2.editmysite.com/sprites/util/videojs-sacae758aa2.png	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/sprites/util/videojs-sacae758aa2.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:14	1147/1147	---M--	200	added ('OK')	image/png	etag:%22238628d5193eed29afba56881c2062b6%22	http://cdn2.editmysite.com/images/util/videojs/volume-filled.png	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/util/videojs/volume-filled.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:14	285154/285154	---M--	200	added ('OK')	image/jpeg	etag:%2217bd583f8722cb8bac347ecc4e15c325%22	https://proquipenterprises.weebly.com/uploads/9/1/0/5/91057670/background-images/1177546391.jpg	C:/Users/clay/Desktop/numbered%20quot/proquip/proquipenterprises.weebly.com/uploads/9/1/0/5/91057670/background-images/1177546391.jpg	(from https://proquipenterprises.weebly.com/)
23:42:15	1333/1333	---M--	200	added ('OK')	image/png	etag:%2294ad4962ec7aae96fd39acf13b05c5ff%22	http://cdn2.editmysite.com/images/util/videojs/@2x/volume-filled.png	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/util/videojs/@2x/volume-filled.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:15	1179/1179	---M--	200	added ('OK')	image/png	etag:%225baf4223095c9cbd9975106f31b0885f%22	http://cdn2.editmysite.com/images/util/videojs/volume-mute.png	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/util/videojs/volume-mute.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:15	1303/1303	---M--	200	added ('OK')	image/png	etag:%2202ddb113f1cb06b58d6b9bbfcc0f9da1%22	http://cdn2.editmysite.com/images/util/videojs/@2x/volume-mute.png	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/util/videojs/@2x/volume-mute.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:16	942/942	---M--	200	added ('OK')	image/png	etag:%220521e97e2016ab9bba1894ae3f8ac129%22	http://cdn2.editmysite.com/images/util/videojs/@2x/blue-bar.png	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/util/videojs/@2x/blue-bar.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:16	3318/3318	---M--	200	added ('OK')	image/png	etag:%22cada038924133711192a57d0631ad1d6%22	http://cdn2.editmysite.com/images/util/videojs/blue-bar.png	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/util/videojs/blue-bar.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
23:42:16	1146/1146	---M--	200	added ('OK')	image/png	etag:%22eea250c94c3ef64a203ecca50bd37834%22	http://cdn2.editmysite.com/images/util/videojs/maximize-icon.png	C:/Users/clay/Desktop/numbered%20quot/proquip/cdn2.editmysite.com/images/util/videojs/maximize-icon.png	(from http://cdn2.editmysite.com/css/sites.css?buildTime=1596476304)
